2014/12/23 10:45:56 [INFO] Preparing spawn for world_nether: 44%
2014/12/23 10:45:57 [INFO] Preparing spawn for world_nether: 49%
2014/12/23 10:45:58 [INFO] Preparing spawn for world_nether: 56%
2014/12/23 10:45:59 [INFO] Preparing spawn for world_nether: 61%
2014/12/23 10:46:00 [INFO] Preparing spawn for world_nether: 68%
2014/12/23 10:46:01 [INFO] Preparing spawn for world_nether: 73%
2014/12/23 10:46:02 [INFO] Preparing spawn for world_nether: 78%
2014/12/23 10:46:03 [INFO] Preparing spawn for world_nether: 84%
2014/12/23 10:46:04 [INFO] Preparing spawn for world_nether: 90%
2014/12/23 10:46:05 [INFO] Preparing spawn for world_nether: 96%
2014/12/23 10:46:06 [INFO] Preparing spawn for world_nether: done
2014/12/23 10:46:06 [INFO] Preparing spawn for world_the_end...
2014/12/23 10:46:08 [INFO] Preparing spawn for world_the_end: 6%
2014/12/23 10:46:09 [INFO] Preparing spawn for world_the_end: 16%
2014/12/23 10:46:10 [INFO] Preparing spawn for world_the_end: 25%
2014/12/23 10:46:11 [INFO] Preparing spawn for world_the_end: 35%
2014/12/23 10:46:12 [INFO] Preparing spawn for world_the_end: 46%
2014/12/23 10:46:13 [INFO] Preparing spawn for world_the_end: 54%
2014/12/23 10:46:14 [INFO] Preparing spawn for world_the_end: 62%
2014/12/23 10:46:15 [INFO] Preparing spawn for world_the_end: 72%
2014/12/23 10:46:16 [INFO] Preparing spawn for world_the_end: 84%
2014/12/23 10:46:17 [INFO] Preparing spawn for world_the_end: 95%
2014/12/23 10:46:17 [INFO] Preparing spawn for world_the_end: done
2014/12/23 10:46:18 [INFO] Binding to address: localhost/127.0.0.1:25565...
2014/12/23 10:46:22 [INFO] Ready for connections.
